127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/js/calendar.js, HTTP/1.1, 304, 0.000246
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000207
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001373
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/js/web2py.js, HTTP/1.1, 304, 0.000396
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000576
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001041
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/js/share.js, HTTP/1.1, 304, 0.000457
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/images/facebook.png, HTTP/1.1, 304, 0.000476
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/images/gplus-32.png, HTTP/1.1, 304, 0.000655
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/images/twitter.png, HTTP/1.1, 304, 0.000885
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/default/schedule, HTTP/1.1, 200, 0.035404
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/css/calendar.css, HTTP/1.1, 304, 0.000287
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000230
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/js/jquery.js, HTTP/1.1, 304, 0.000300
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/css/web2py.css, HTTP/1.1, 304, 0.000788
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001316
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000225
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002707
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/js/calendar.js, HTTP/1.1, 304, 0.000597
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/js/web2py.js, HTTP/1.1, 304, 0.000517
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000889
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/js/share.js, HTTP/1.1, 304, 0.000397
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000898
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/images/facebook.png, HTTP/1.1, 304, 0.000248
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/images/gplus-32.png, HTTP/1.1, 304, 0.001280
127.0.0.1, 2013-06-23 18:59:56, GET, /baystreet/static/images/twitter.png, HTTP/1.1, 304, 0.001500
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/default/schedule, HTTP/1.1, 200, 0.035040
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/css/calendar.css, HTTP/1.1, 304, 0.000286
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000240
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000278
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000206
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/js/jquery.js, HTTP/1.1, 304, 0.000251
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/js/calendar.js, HTTP/1.1, 304, 0.000219
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000655
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/js/web2py.js, HTTP/1.1, 304, 0.000631
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/css/web2py.css, HTTP/1.1, 304, 0.000720
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000877
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/js/share.js, HTTP/1.1, 304, 0.000260
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001027
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/images/facebook.png, HTTP/1.1, 304, 0.000557
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/images/gplus-32.png, HTTP/1.1, 304, 0.000429
127.0.0.1, 2013-06-23 19:01:35, GET, /baystreet/static/images/twitter.png, HTTP/1.1, 304, 0.001024
127.0.0.1, 2013-06-23 19:01:38, POST, /baystreet/default/schedule, HTTP/1.1, 200, 0.038710
127.0.0.1, 2013-06-26 17:39:10, GET, /, HTTP/1.1, 303, 0.001695
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.122752
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000478
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001669
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001143
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001022
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002833
